                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                 202.12,                 103.81,                 176.67,                0.79028,                0.69671,                0.76117,                0.48645,                    nan,                    nan,                    nan,               0.008185,               0.008185,               0.008185
                     57,                 201.37,                 103.09,                 175.48,                0.80148,                0.70035,                0.76375,                0.48935,                    nan,                    nan,                    nan,               0.008152,               0.008152,               0.008152
                     58,                 201.67,                 103.27,                  176.2,                0.79877,                0.69278,                0.76386,                0.48829,                    nan,                    nan,                    nan,               0.008119,               0.008119,               0.008119
                     59,                 201.74,                 103.13,                 175.65,                0.79233,                0.70072,                0.76439,                0.48955,                    nan,                    nan,                    nan,               0.008086,               0.008086,               0.008086
                     60,                 201.64,                 103.05,                 175.83,                0.76285,                0.71215,                0.76791,                0.49406,                    nan,                    nan,                    nan,               0.008053,               0.008053,               0.008053
                     61,                  201.7,                 103.12,                 176.19,                0.78051,                0.70439,                0.76713,                0.49359,                    nan,                    nan,                    nan,                0.00802,                0.00802,                0.00802
                     62,                 201.35,                 102.47,                 175.53,                0.80046,                0.69711,                 0.7635,                0.49068,                    nan,                    nan,                    nan,               0.007987,               0.007987,               0.007987
                     63,                 200.85,                 102.29,                 176.38,                0.77339,                 0.7034,                0.76357,                0.49174,                    nan,                    nan,                    nan,               0.007954,               0.007954,               0.007954
                     64,                 200.71,                 102.41,                 176.55,                0.81478,                0.68978,                0.76169,                0.49266,                    nan,                    nan,                    nan,               0.007921,               0.007921,               0.007921
                     65,                 200.82,                 102.05,                 176.16,                0.82137,                0.69193,                0.75916,                0.49065,                    nan,                    nan,                    nan,               0.007888,               0.007888,               0.007888
                     66,                 200.63,                  102.1,                 176.08,                0.81456,                0.69515,                0.76218,                0.49236,                    nan,                    nan,                    nan,               0.007855,               0.007855,               0.007855
                     67,                 200.24,                 101.79,                  176.2,                0.82872,                0.69546,                0.76252,                0.49187,                    nan,                    nan,                    nan,               0.007822,               0.007822,               0.007822
                     68,                 200.23,                 101.57,                 175.56,                0.82637,                0.69433,                0.76932,                0.49356,                    nan,                    nan,                    nan,               0.007789,               0.007789,               0.007789
                     69,                 200.27,                 101.82,                 175.66,                0.81202,                 0.6951,                0.77124,                0.49431,                    nan,                    nan,                    nan,               0.007756,               0.007756,               0.007756
                     70,                 200.22,                  101.5,                 176.29,                0.78894,                0.69527,                 0.7691,                0.49329,                    nan,                    nan,                    nan,               0.007723,               0.007723,               0.007723
                     71,                 199.91,                 101.24,                 175.45,                0.82248,                0.68564,                0.76744,                0.49364,                    nan,                    nan,                    nan,                0.00769,                0.00769,                0.00769
                     72,                 199.83,                 101.39,                 175.09,                0.80632,                0.68941,                0.76758,                0.49463,                    nan,                    nan,                    nan,               0.007657,               0.007657,               0.007657
                     73,                  199.9,                 101.06,                 174.68,                0.80078,                 0.6955,                0.77181,                0.49706,                    nan,                    nan,                    nan,               0.007624,               0.007624,               0.007624
                     74,                 199.53,                 100.73,                 175.27,                0.81638,                0.69866,                0.77299,                0.49743,                    nan,                    nan,                    nan,               0.007591,               0.007591,               0.007591
                     75,                 199.58,                 100.63,                 175.16,                0.80986,                0.69731,                0.77142,                0.49815,                    nan,                    nan,                    nan,               0.007558,               0.007558,               0.007558
                     76,                 199.45,                 100.41,                 175.48,                0.76133,                0.71944,                0.77154,                0.49793,                    nan,                    nan,                    nan,               0.007525,               0.007525,               0.007525
                     77,                 199.22,                 100.53,                  175.2,                0.78145,                0.72496,                0.77243,                0.49753,                    nan,                    nan,                    nan,               0.007492,               0.007492,               0.007492
                     78,                 199.01,                 100.26,                 175.23,                0.83617,                0.69855,                0.77086,                0.49701,                    nan,                    nan,                    nan,               0.007459,               0.007459,               0.007459
                     79,                 198.63,                 99.999,                 174.74,                0.79743,                 0.7168,                0.77271,                0.49817,                    nan,                    nan,                    nan,               0.007426,               0.007426,               0.007426
                     80,                 198.59,                 100.17,                 175.42,                0.85403,                0.69288,                0.76656,                0.49675,                    nan,                    nan,                    nan,               0.007393,               0.007393,               0.007393
                     81,                 198.73,                 99.626,                 174.97,                0.84191,                0.69937,                0.76828,                0.49748,                    nan,                    nan,                    nan,                0.00736,                0.00736,                0.00736
                     82,                  198.3,                 99.717,                 174.37,                0.84487,                0.69827,                0.76847,                0.49717,                    nan,                    nan,                    nan,               0.007327,               0.007327,               0.007327
                     83,                 198.58,                 99.707,                 174.77,                0.83064,                0.70611,                0.76817,                0.49677,                    nan,                    nan,                    nan,               0.007294,               0.007294,               0.007294
                     84,                 198.66,                 99.959,                  174.1,                0.82974,                0.71002,                0.77025,                0.49723,                    nan,                    nan,                    nan,               0.007261,               0.007261,               0.007261
                     85,                 198.06,                 99.602,                  174.4,                0.81171,                0.71724,                0.77242,                0.49779,                    nan,                    nan,                    nan,               0.007228,               0.007228,               0.007228
                     86,                 198.02,                 99.106,                 174.53,                 0.8157,                0.72108,                0.77328,                 0.5003,                    nan,                    nan,                    nan,               0.007195,               0.007195,               0.007195
                     87,                 197.73,                 99.163,                 174.73,                0.84743,                0.70718,                0.77315,                0.50116,                    nan,                    nan,                    nan,               0.007162,               0.007162,               0.007162
                     88,                 197.96,                 99.263,                 174.17,                 0.8434,                0.70757,                0.77224,                0.50146,                    nan,                    nan,                    nan,               0.007129,               0.007129,               0.007129
                     89,                 197.47,                 98.773,                 174.61,                0.84633,                0.69749,                0.77012,                0.50042,                    nan,                    nan,                    nan,               0.007096,               0.007096,               0.007096
                     90,                 197.45,                 98.708,                 173.83,                0.84712,                0.70276,                0.77291,                0.50296,                    nan,                    nan,                    nan,               0.007063,               0.007063,               0.007063
                     91,                 197.56,                 98.702,                 173.81,                0.84402,                0.70401,                0.77246,                0.50477,                    nan,                    nan,                    nan,                0.00703,                0.00703,                0.00703
                     92,                 197.24,                 98.232,                  173.3,                0.85621,                0.70215,                0.77533,                0.50337,                    nan,                    nan,                    nan,               0.006997,               0.006997,               0.006997
                     93,                 197.03,                 98.161,                 173.35,                0.85962,                0.70358,                0.77598,                0.50313,                    nan,                    nan,                    nan,               0.006964,               0.006964,               0.006964
                     94,                 196.68,                 97.865,                    174,                0.84188,                0.70286,                0.77496,                0.50247,                    nan,                    nan,                    nan,               0.006931,               0.006931,               0.006931
                     95,                 196.82,                 98.063,                 173.88,                0.84006,                0.70889,                0.77648,                0.50309,                    nan,                    nan,                    nan,               0.006898,               0.006898,               0.006898
                     96,                 196.93,                  98.04,                 174.38,                0.78807,                0.73649,                0.77655,                0.50264,                    nan,                    nan,                    nan,               0.006865,               0.006865,               0.006865
                     97,                 196.67,                 97.948,                  173.3,                0.81153,                0.72067,                 0.7767,                0.50232,                    nan,                    nan,                    nan,               0.006832,               0.006832,               0.006832
                     98,                 196.23,                 97.647,                 173.52,                 0.8142,                 0.7137,                0.77714,                0.50182,                    nan,                    nan,                    nan,               0.006799,               0.006799,               0.006799
                     99,                 196.47,                 97.697,                 174.36,                 0.8467,                0.69404,                0.77498,                 0.5003,                    nan,                    nan,                    nan,               0.006766,               0.006766,               0.006766
                    100,                 196.29,                 97.384,                 173.65,                0.81647,                0.70548,                0.77629,                0.50008,                    nan,                    nan,                    nan,               0.006733,               0.006733,               0.006733
                    101,                 195.92,                 97.261,                 173.95,                0.82216,                0.71737,                0.78119,                0.50359,                    nan,                    nan,                    nan,                 0.0067,                 0.0067,                 0.0067
                    102,                 195.87,                 97.019,                 173.53,                 0.8115,                0.71666,                0.77788,                0.50284,                    nan,                    nan,                    nan,               0.006667,               0.006667,               0.006667
                    103,                 196.13,                 97.218,                 174.02,                 0.8426,                0.70807,                 0.7774,                0.50388,                    nan,                    nan,                    nan,               0.006634,               0.006634,               0.006634
                    104,                 195.46,                 96.693,                 173.53,                0.81063,                0.72365,                0.77771,                0.50376,                    nan,                    nan,                    nan,               0.006601,               0.006601,               0.006601
                    105,                 195.66,                 96.601,                 173.76,                0.80202,                0.72431,                0.77872,                0.50529,                    nan,                    nan,                    nan,               0.006568,               0.006568,               0.006568
                    106,                 195.31,                 96.685,                 173.62,                0.84952,                0.70533,                0.77788,                0.50585,                    nan,                    nan,                    nan,               0.006535,               0.006535,               0.006535
                    107,                 195.23,                 96.363,                 173.53,                0.85994,                0.70674,                0.78276,                0.50805,                    nan,                    nan,                    nan,               0.006502,               0.006502,               0.006502
                    108,                 195.11,                 96.148,                 173.52,                 0.8673,                0.70392,                0.78427,                 0.5101,                    nan,                    nan,                    nan,               0.006469,               0.006469,               0.006469
                    109,                 195.22,                 96.254,                 173.62,                0.85253,                0.70755,                0.78607,                0.50981,                    nan,                    nan,                    nan,               0.006436,               0.006436,               0.006436
                    110,                 195.25,                 95.919,                 173.52,                0.81475,                0.72372,                0.78335,                0.50928,                    nan,                    nan,                    nan,               0.006403,               0.006403,               0.006403
                    111,                 194.62,                 95.973,                 173.47,                0.85946,                0.70796,                0.78712,                0.51229,                    nan,                    nan,                    nan,                0.00637,                0.00637,                0.00637
