# 1: Detection or Track-id,2: Video or Image Identifier,3: Unique Frame Identifier,4-7: Img-bbox(TL_x,TL_y,BR_x,BR_y),8: Detection or Length Confidence,9: Target Length (0 or -1 if invalid),10-11+: Repeated Species,Confidence Pairs or Attributes
1,942205001_cam3_frame_868.png,868,212.75049,402.71768,569.01404,555.10046,0.9091298,-1,LUTJANUSCAMPECHANUS-170151107,0.9091298
2,942205001_cam3_frame_868.png,868,547.0742,765.86176,804.8019,977.3628,0.59944916,-1,LUTJANUSCAMPECHANUS-170151107,0.59944916
1,942205001_cam3_frame_869.png,869,153.26074,390.94446,449.11304,564.4032,0.9113892,-1,LUTJANUSCAMPECHANUS-170151107,0.9113892
1,942205001_cam3_frame_870.png,870,149.40042,401.36728,357.1811,557.5631,0.87595946,-1,LUTJANUSCAMPECHANUS-170151107,0.87595946
1,942205001_cam3_frame_871.png,871,155.7677,401.93143,246.89938,512.3999,0.69645613,-1,LUTJANUSCAMPECHANUS-170151107,0.69645613
1,942205001_cam3_frame_872.png,872,734.9042,828.72485,943.2446,985.744,0.5927223,-1,LUTJANUSCAMPECHANUS-170151107,0.5927223
1,942205001_cam3_frame_874.png,874,760.267,798.1013,974.33057,950.74756,0.7054124,-1,LUTJANUSCAMPECHANUS-170151107,0.7054124
1,942205001_cam3_frame_877.png,877,791.3132,748.8596,1003.27716,879.51636,0.7336489,-1,LUTJANUSCAMPECHANUS-170151107,0.7336489
1,942205001_cam3_frame_878.png,878,782.20215,741.92725,1012.2926,872.39923,0.5866245,-1,LUTJANUSCAMPECHANUS-170151107,0.5866245
1,942205001_cam3_frame_879.png,879,782.07,723.4728,1016.974,833.55304,0.74440205,-1,LUTJANUSCAMPECHANUS-170151107,0.74440205
1,942205001_cam3_frame_880.png,880,784.4912,704.6904,1025.157,814.2108,0.80664414,-1,LUTJANUSCAMPECHANUS-170151107,0.80664414
1,942205001_cam3_frame_881.png,881,789.8059,687.4818,1031.1948,799.76416,0.7718485,-1,LUTJANUSCAMPECHANUS-170151107,0.7718485
1,942205001_cam3_frame_882.png,882,796.63806,675.2082,1039.1064,782.64465,0.81997305,-1,LUTJANUSCAMPECHANUS-170151107,0.81997305
1,942205001_cam3_frame_883.png,883,851.1958,656.4442,1058.513,761.489,0.8531591,-1,LUTJANUSCAMPECHANUS-170151107,0.8531591
1,942205001_cam3_frame_884.png,884,863.47614,633.85266,1090.69,745.4503,0.8638899,-1,LUTJANUSCAMPECHANUS-170151107,0.8638899
1,942205001_cam3_frame_885.png,885,849.4387,613.42145,1116.2772,729.6121,0.8864238,-1,LUTJANUSCAMPECHANUS-170151107,0.8864238
1,942205001_cam3_frame_886.png,886,855.7132,594.2419,1136.7894,710.4353,0.8774362,-1,LUTJANUSCAMPECHANUS-170151107,0.8774362
1,942205001_cam3_frame_887.png,887,872.92395,575.1297,1154.6337,694.55457,0.89499533,-1,LUTJANUSCAMPECHANUS-170151107,0.89499533
1,942205001_cam3_frame_888.png,888,917.2152,555.41656,1182.2362,679.0948,0.8738311,-1,LUTJANUSCAMPECHANUS-170151107,0.8738311
1,942205001_cam3_frame_889.png,889,924.37225,545.8397,1209.8132,670.4346,0.8917617,-1,LUTJANUSCAMPECHANUS-170151107,0.8917617
1,942205001_cam3_frame_890.png,890,965.38855,539.3834,1213.7775,659.0829,0.8745661,-1,LUTJANUSCAMPECHANUS-170151107,0.8745661
1,942205001_cam3_frame_891.png,891,996.806,529.1062,1300.8439,650.5823,0.8663713,-1,LUTJANUSCAMPECHANUS-170151107,0.8663713
1,942205001_cam3_frame_892.png,892,1044.6185,514.57434,1325.5426,634.0729,0.87908226,-1,LUTJANUSCAMPECHANUS-170151107,0.87908226
1,942205001_cam3_frame_893.png,893,1093.7838,497.44272,1367.4185,623.6494,0.8754709,-1,LUTJANUSCAMPECHANUS-170151107,0.8754709
1,942205001_cam3_frame_894.png,894,1125.0361,480.00302,1416.0823,608.8767,0.87435526,-1,LUTJANUSCAMPECHANUS-170151107,0.87435526
1,942205001_cam3_frame_895.png,895,1173.6653,464.41833,1459.8049,592.1304,0.88501346,-1,LUTJANUSCAMPECHANUS-170151107,0.88501346
1,942205001_cam3_frame_896.png,896,1252.3955,447.9591,1499.6108,574.5216,0.89144033,-1,LUTJANUSCAMPECHANUS-170151107,0.89144033
1,942205001_cam3_frame_897.png,897,1291.9772,428.39087,1548.9055,558.7203,0.88021064,-1,LUTJANUSCAMPECHANUS-170151107,0.88021064
1,942205001_cam3_frame_898.png,898,1343.8381,408.76508,1612.9968,540.4291,0.8945696,-1,LUTJANUSCAMPECHANUS-170151107,0.8945696
1,942205001_cam3_frame_899.png,899,1393.8739,392.34604,1671.6581,514.96814,0.895015,-1,LUTJANUSCAMPECHANUS-170151107,0.895015
1,942205001_cam3_frame_900.png,900,1454.5596,377.81805,1724.9146,492.2526,0.89347035,-1,LUTJANUSCAMPECHANUS-170151107,0.89347035
1,942205001_cam3_frame_901.png,901,1518.4531,361.48505,1781.8136,479.90817,0.89993274,-1,LUTJANUSCAMPECHANUS-170151107,0.89993274
1,942205001_cam3_frame_902.png,902,1556.8575,344.4978,1796.4873,472.04178,0.884123,-1,LUTJANUSCAMPECHANUS-170151107,0.884123
1,942205001_cam3_frame_903.png,903,1616.3394,327.7418,1919.9194,451.32477,0.8814746,-1,LUTJANUSCAMPECHANUS-170151107,0.8814746
1,942205001_cam3_frame_904.png,904,1677.3171,306.8768,1919.7074,432.88483,0.87471974,-1,LUTJANUSCAMPECHANUS-170151107,0.87471974
1,942205001_cam3_frame_905.png,905,1729.9867,291.72235,1920.0,423.29956,0.7884147,-1,LUTJANUSCAMPECHANUS-170151107,0.7884147
1,942205001_cam3_frame_946.png,946,147.051,841.4081,357.6817,1045.0752,0.627122,-1,LUTJANUSCAMPECHANUS-170151107,0.627122
1,942205001_cam3_frame_948.png,948,220.37114,736.663,479.43304,949.52454,0.7631208,-1,LUTJANUSCAMPECHANUS-170151107,0.7631208
1,942205001_cam3_frame_949.png,949,274.7519,713.62646,536.11053,899.8989,0.79581577,-1,LUTJANUSCAMPECHANUS-170151107,0.79581577
1,942205001_cam3_frame_950.png,950,343.6411,677.0005,583.1731,848.57495,0.8489501,-1,LUTJANUSCAMPECHANUS-170151107,0.8489501
1,942205001_cam3_frame_951.png,951,353.51648,655.3944,646.61633,810.45026,0.8132189,-1,LUTJANUSCAMPECHANUS-170151107,0.8132189
1,942205001_cam3_frame_952.png,952,433.5172,652.4375,683.6338,783.8463,0.8717182,-1,LUTJANUSCAMPECHANUS-170151107,0.8717182
1,942205001_cam3_frame_953.png,953,459.89713,648.60144,689.38135,802.6229,0.7867462,-1,LUTJANUSCAMPECHANUS-170151107,0.7867462
1,942205001_cam3_frame_954.png,954,477.80228,625.4281,764.9519,835.9431,0.7918898,-1,LUTJANUSCAMPECHANUS-170151107,0.7918898
2,942205001_cam3_frame_954.png,954,184.72742,1015.58203,480.79797,1170.6449,0.6221204,-1,LUTJANUSCAMPECHANUS-170151107,0.6221204
1,942205001_cam3_frame_955.png,955,535.15906,678.09143,795.8183,848.4454,0.8343321,-1,LUTJANUSCAMPECHANUS-170151107,0.8343321
2,942205001_cam3_frame_955.png,955,240.89728,989.4516,531.33386,1168.3286,0.59292996,-1,LUTJANUSCAMPECHANUS-170151107,0.59292996
1,942205001_cam3_frame_956.png,956,544.8218,692.0548,827.8962,854.07166,0.79991883,-1,LUTJANUSCAMPECHANUS-170151107,0.79991883
2,942205001_cam3_frame_956.png,956,273.63776,987.2393,577.062,1151.4209,0.7723845,-1,LUTJANUSCAMPECHANUS-170151107,0.7723845
1,942205001_cam3_frame_957.png,957,315.17303,974.20074,613.3081,1132.3428,0.8139148,-1,LUTJANUSCAMPECHANUS-170151107,0.8139148
2,942205001_cam3_frame_957.png,957,576.0348,700.79956,851.3476,882.8278,0.7982949,-1,LUTJANUSCAMPECHANUS-170151107,0.7982949
1,942205001_cam3_frame_958.png,958,360.836,953.09564,656.49365,1125.1196,0.56151867,-1,LUTJANUSCAMPECHANUS-170151107,0.56151867
1,942205001_cam3_frame_959.png,959,440.93915,954.6765,672.8929,1113.8318,0.78757244,-1,LUTJANUSCAMPECHANUS-170151107,0.78757244
1,942205001_cam3_frame_960.png,960,471.2702,959.22534,687.98334,1110.2814,0.79619205,-1,LUTJANUSCAMPECHANUS-170151107,0.79619205
